,Quarter,Tm,Detail,ATL,DAL
0,1.0,Cowboys,Dan Reeves 60 yard pass from Don Meredith (Danny Villanueva kick),0,7
1,2.0,Cowboys,Dan Reeves 7 yard pass from Don Meredith (Danny Villanueva kick),0,14
2,2.0,Cowboys,Lee Roy Jordan 33 yard interception return (Danny Villanueva kick),0,21
3,3.0,Cowboys,Dan Reeves 1 yard rush (Danny Villanueva kick),0,28
4,3.0,Falcons,Bill Martin 8 yard pass from Randy Johnson (Wade Traynham kick),7,28
5,4.0,Cowboys,"Safety, Pugh tackled Johnson in end zone",7,30
6,4.0,Cowboys,Dan Reeves 1 yard rush (Danny Villanueva kick),7,37
