,Quarter,Time,Tm,Detail,TAM,GNB
0,2.0,,Packers,Chris Jacke 21 yard field goal,0,3
1,2.0,,Packers,Edgar Bennett 9 yard pass from Brett Favre (Chris Jacke kick),0,10
2,2.0,,Packers,Chris Jacke 20 yard field goal,0,13
3,3.0,,Packers,Chris Jacke 22 yard field goal,0,16
4,3.0,,Buccaneers,Michael Husted 24 yard field goal,3,16
5,3.0,,Packers,Ed West 20 yard pass from Brett Favre (Chris Jacke kick),3,23
6,4.0,,Packers,Sterling Sharpe 3 yard pass from Brett Favre (Chris Jacke kick),3,30
