,Quarter,Tm,Detail,NYG,WAS
0,2,Giants,Joe Danelo 32 yard field goal,3,0
1,2,Redskins,Mark Moseley 47 yard field goal,3,3
2,3,Redskins,Mark Moseley 33 yard field goal,3,6
3,3,Giants,Joe Danelo 29 yard field goal,6,6
4,4,Giants,Troy Archer 20 yard defensive fumble return (Joe Danelo kick),13,6
5,4,Redskins,Mike Thomas 1 yard rush (Mark Moseley kick),13,13
6,OT,Redskins,Mark Moseley 45 yard field goal,13,16
