,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,9:12,Colts,Joseph Addai 55 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
1,1.0,0:16,Colts,Adam Vinatieri 28 yard field goal,0,10
2,2.0,10:14,Colts,Adam Vinatieri 21 yard field goal,0,13
3,2.0,2:26,Colts,Adam Vinatieri 38 yard field goal,0,16
4,4.0,6:38,Colts,Jamey Richard offensive fumble recovery in end zone (Adam Vinatieri kick),0,23
