,Quarter,Tm,Detail,STL,KAN
0,1,Chiefs,Jan Stenerud 39 yard field goal,0,3
1,2,Chiefs,Jan Stenerud 15 yard field goal,0,6
2,3,Cardinals,Jim Bakken 49 yard field goal,3,6
3,4,Cardinals,Jim Bakken 14 yard field goal,6,6
