,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Ike Thomas 89 yard kickoff return (Mike Clark kick),0,7
1,1.0,Rams,Larry Smith 1 yard rush (David Ray kick),7,7
2,1.0,Rams,Bob Klein 33 yard pass from Roman Gabriel (David Ray kick),14,7
3,2.0,Cowboys,Bob Hayes 51 yard pass from Roger Staubach (Mike Clark kick),14,14
4,3.0,Cowboys,Lance Alworth 21 yard pass from Roger Staubach (Mike Clark kick),14,21
5,3.0,Rams,Pat Curran 2 yard pass from Roman Gabriel (David Ray kick),21,21
6,4.0,Cowboys,Duane Thomas 5 yard rush (Mike Clark kick),21,28
