,Quarter,Time,Tm,Detail,HOU,CIN
0,1.0,1:28,Texans,Ka'imi Fairbairn 26 yard field goal,3,0
1,2.0,13:44,Bengals,Randy Bullock 39 yard field goal,3,3
2,2.0,0:50,Texans,Deshaun Watson 49 yard rush (Ka'imi Fairbairn kick),10,3
3,2.0,0:02,Bengals,Randy Bullock 29 yard field goal,10,6
4,3.0,6:26,Bengals,Randy Bullock 30 yard field goal,10,9
5,4.0,1:56,Texans,Ka'imi Fairbairn 42 yard field goal,13,9
