,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Chris Jacke 38 yard field goal,3,0
1,1.0,Bears,Neal Anderson 3 yard rush (Kevin Butler kick),3,7
2,2.0,Packers,Chris Jacke 27 yard field goal,6,7
3,2.0,Bears,Kevin Butler 50 yard field goal,6,10
4,3.0,Bears,Mike Tomczak 6 yard rush (Kevin Butler kick),6,17
5,4.0,Packers,Sterling Sharpe 76 yard pass from Don Majkowski (Chris Jacke kick),13,17
6,4.0,Bears,Kevin Butler 51 yard field goal,13,20
7,4.0,Bears,Cap Boso 2 yard pass from Mike Tomczak (Kevin Butler kick),13,27
