,Quarter,Time,Tm,Detail,BAL,SDG
0,1.0,4:47,Chargers,Mike Tolbert 2 yard rush (Nick Novak kick),0,7
1,2.0,13:27,Ravens,Ed Dickson 15 yard pass from Joe Flacco (Billy Cundiff kick),7,7
2,2.0,7:44,Chargers,Nick Novak 45 yard field goal,7,10
3,2.0,0:19,Chargers,Ryan Mathews 1 yard rush (Nick Novak kick),7,17
4,3.0,10:38,Chargers,Malcom Floyd 28 yard pass from Philip Rivers (Nick Novak kick),7,24
5,3.0,4:05,Chargers,Ryan Mathews 3 yard rush (Nick Novak kick),7,31
6,4.0,4:28,Chargers,Nick Novak 28 yard field goal,7,34
7,4.0,1:55,Ravens,Torrey Smith 36 yard pass from Joe Flacco (Billy Cundiff kick),14,34
