,Quarter,Tm,Detail,SDG,NYG
0,1.0,Giants,Joe Cooper 21 yard field goal,0,3
1,2.0,Giants,Joe Morris 1 yard rush (Joe Cooper kick),0,10
2,2.0,Chargers,Gary Anderson 29 yard pass from Dan Fouts (Rolf Benirschke kick),7,10
3,4.0,Giants,Lionel Manuel 12 yard pass from Phil Simms (Joe Cooper kick),7,17
4,4.0,Giants,Joe Cooper 20 yard field goal,7,20
