,Quarter,Time,Tm,Detail,NYJ,DEN
0,1.0,5:08,Broncos,Matt Prater 37 yard field goal,0,3
1,2.0,12:04,Jets,Nick Folk 21 yard field goal,3,3
2,3.0,10:57,Jets,Matt Slauson 1 yard offensive fumble return (Nick Folk kick),10,3
3,3.0,4:25,Broncos,Andre' Goodman 26 yard interception return (Matt Prater kick),10,10
4,4.0,9:14,Jets,Nick Folk 45 yard field goal,13,10
5,4.0,0:58,Broncos,Tim Tebow 20 yard rush (Matt Prater kick),13,17
