,Quarter,Time,Tm,Detail,BUF,PIT
0,1.0,,Steelers,John Williams 1 yard rush (Norm Johnson kick),0,7
1,2.0,,Steelers,Ernie Mills 10 yard pass from Neil O'Donnell (Norm Johnson kick),0,14
2,2.0,,Steelers,Norm Johnson 45 yard field goal,0,17
3,2.0,,Steelers,Norm Johnson 38 yard field goal,0,20
4,2.0,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),7,20
5,2.0,,Steelers,Norm Johnson 34 yard field goal,7,23
6,3.0,,Steelers,Norm Johnson 39 yard field goal,7,26
7,3.0,,Bills,Tony Cline 2 yard pass from Alex Van Pelt (Steve Christie kick),14,26
8,4.0,,Bills,Thurman Thomas 9 yard pass from Jim Kelly (Steve Christie kick),21,26
9,4.0,,Steelers,Bam Morris 13 yard rush (Norm Johnson kick),21,33
10,4.0,,Steelers,Bam Morris 2 yard rush (Norm Johnson kick),21,40
