,Quarter,Tm,Detail,CRD,DET
0,1.0,Cardinals,Billy deCorrevont 1 yard rush (Pat Harder kick),7,0
1,1.0,Cardinals,Pat Harder 15 yard field goal,10,0
2,2.0,Lions,John Greene 30 yard pass from Clyde LeForce (Roy Zimmerman kick),10,7
3,4.0,Cardinals,Elmer Angsman 1 yard rush (Pat Harder kick),17,7
