,Quarter,Time,Tm,Detail,DET,OAK
0,1.0,6:36,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),0,7
1,1.0,2:38,Lions,Marvin Jones 2 yard pass from Matthew Stafford (Matt Prater kick),7,7
2,2.0,13:34,Raiders,Daniel Carlson 32 yard field goal,7,10
3,2.0,11:30,Lions,Kenny Golladay 59 yard pass from Matthew Stafford (Matt Prater kick),14,10
4,2.0,1:16,Raiders,Josh Jacobs 3 yard rush (Daniel Carlson kick),14,17
5,3.0,4:47,Lions,Matt Prater 23 yard field goal,17,17
6,4.0,14:56,Raiders,Foster Moreau 3 yard pass from Derek Carr (Daniel Carlson kick),17,24
7,4.0,5:22,Lions,J.D. McKissic 26 yard pass from Matthew Stafford (Matt Prater kick),24,24
8,4.0,2:10,Raiders,Hunter Renfrow 9 yard pass from Derek Carr (Daniel Carlson kick),24,31
