,Quarter,Time,Tm,Detail,GNB,KAN
0,1.0,,Chiefs,Pete Stoyanovich 26 yard field goal,0,3
1,1.0,,Packers,Chris Jacke 24 yard field goal,3,3
2,2.0,,Chiefs,Pete Stoyanovich 22 yard field goal,3,6
3,2.0,,Chiefs,Greg Hill 8 yard rush (Pete Stoyanovich kick),3,13
4,2.0,,Chiefs,Greg Hill 34 yard pass from Steve Bono (Pete Stoyanovich kick),3,20
5,2.0,,Packers,Chris Jacke 49 yard field goal,6,20
6,3.0,14:45,Chiefs,Greg Hill 24 yard rush (Pete Stoyanovich kick),6,27
7,3.0,14:45,Packers,Don Beebe 25 yard pass from Brett Favre (Chris Jacke kick),13,27
8,4.0,14:45,Packers,Derrick Mayes 6 yard pass from Brett Favre (Chris Jacke kick),20,27
