,Quarter,Time,Tm,Detail,SEA,CAR
0,1.0,10:34,Seahawks,Chris Carson 16 yard rush (Jason Myers kick failed),6,0
1,1.0,5:27,Seahawks,D.K. Metcalf 19 yard pass from Russell Wilson (Jason Myers kick),13,0
2,2.0,13:46,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),13,7
3,2.0,10:15,Seahawks,Tyler Lockett 19 yard pass from Russell Wilson (Jason Myers kick),20,7
4,3.0,11:40,Panthers,Joey Slye 52 yard field goal,20,10
5,3.0,0:32,Seahawks,Jason Myers 30 yard field goal,23,10
6,4.0,7:23,Seahawks,Chris Carson 6 yard rush (Jason Myers kick),30,10
7,4.0,4:58,Panthers,Christian McCaffrey 15 yard rush (Joey Slye kick),30,17
8,4.0,3:19,Panthers,Curtis Samuel 5 yard pass from Kyle Allen (Joey Slye kick),30,24
