,Quarter,Time,Tm,Detail,DEN,PIT
0,1.0,,Broncos,Rod Smith 37 yard pass from John Elway (Jason Elam kick),7,0
1,1.0,,Steelers,Yancey Thigpen 33 yard pass from Kordell Stewart (Norm Johnson kick),7,7
2,1.0,,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),14,7
3,2.0,,Broncos,Rod Smith 25 yard pass from John Elway (Jason Elam kick),21,7
4,2.0,,Steelers,Yancey Thigpen 69 yard pass from Kordell Stewart (Norm Johnson kick),21,14
5,2.0,,Steelers,Yancey Thigpen 21 yard pass from Kordell Stewart (Norm Johnson kick),21,21
6,3.0,,Broncos,Jason Elam 35 yard field goal,24,21
7,3.0,,Steelers,Kordell Stewart 4 yard rush (Norm Johnson kick),24,28
8,4.0,,Steelers,Kordell Stewart 9 yard rush (Norm Johnson kick),24,35
