,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,0:33,Colts,Adam Vinatieri 23 yard field goal,0,3
1,2.0,12:08,Colts,Ahmad Bradshaw 1 yard rush (Adam Vinatieri kick),0,10
2,3.0,9:47,Colts,Dwayne Allen 32 yard pass from Andrew Luck (Adam Vinatieri kick),0,17
3,4.0,12:09,Colts,Ahmad Bradshaw 10 yard pass from Andrew Luck (Adam Vinatieri kick),0,24
4,4.0,1:55,Colts,Adam Vinatieri 50 yard field goal,0,27
