,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Carl Karilivacz 23 yard fumble return (Pat Summerall kick),0,7
1,2.0,Steelers,Tom Miner 27 yard field goal,3,7
2,2.0,Giants,Pat Summerall 34 yard field goal,3,10
3,3.0,Steelers,Tom Miner 39 yard field goal,6,10
4,4.0,Giants,Don Heinrich 1 yard rush (Pat Summerall kick),6,17
