,Quarter,Time,Tm,Detail,NWE,PHI
0,1.0,13:42,Eagles,Jake Elliott 42 yard field goal,0,3
1,2.0,12:40,Eagles,Dallas Goedert 5 yard pass from Carson Wentz (Jake Elliott kick),0,10
2,2.0,8:40,Patriots,Nick Folk 35 yard field goal,3,10
3,2.0,3:24,Patriots,Nick Folk 22 yard field goal,6,10
4,2.0,1:47,Patriots,Nick Folk 39 yard field goal,9,10
5,3.0,10:55,Patriots,Phillip Dorsett 15 yard pass from Julian Edelman (James White run),17,10
