,Quarter,Time,Tm,Detail,CLE,NWE
0,1.0,,Patriots,Matt Bahr 21 yard field goal,0,3
1,1.0,,Browns,Michael Jackson 70 yard pass from Vinny Testaverde (Matt Stover kick),7,3
2,1.0,,Patriots,Matt Bahr 21 yard field goal,7,6
3,2.0,,Browns,Michael Jackson 30 yard pass from Vinny Testaverde (Matt Stover kick),14,6
4,4.0,,Patriots,Matt Bahr 28 yard field goal,14,9
5,4.0,,Patriots,Curtis Martin 1 yard rush (Dave Meggett run),14,17
