,Quarter,Time,Tm,Detail,WAS,PHI
0,1,,Eagles,Charlie Garner 55 yard rush (Gary Anderson kick),0,7
1,1,,Redskins,Eddie Murray 36 yard field goal,3,7
2,1,,Redskins,Brian Mitchell 59 yard punt return (Eddie Murray kick),10,7
3,1,,Eagles,Gary Anderson 40 yard field goal,10,10
4,2,,Redskins,Henry Ellard 40 yard pass from Gus Frerotte (Eddie Murray kick),17,10
5,2,,Eagles,Charlie Garner 1 yard rush (Gary Anderson kick),17,17
6,2,,Eagles,Fred Barnett 2 yard pass from Rodney Peete (Gary Anderson kick),17,24
7,3,,Redskins,Gus Frerotte 1 yard rush (Eddie Murray kick),24,24
8,3,,Eagles,Charlie Garner 17 yard rush (Gary Anderson kick),24,31
9,4,,Eagles,Gary Anderson 43 yard field goal,24,34
10,4,,Redskins,Henry Ellard 12 yard pass from Gus Frerotte (Eddie Murray kick),31,34
11,4,,Redskins,Eddie Murray 46 yard field goal,34,34
12,OT,,Eagles,Gary Anderson 35 yard field goal,34,37
