,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Billy Campfield 2 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,3.0,Eagles,Louie Giammona 2 yard pass from Ron Jaworski (Tony Franklin kick),0,14
2,3.0,Bears,Roland Harper 1 yard rush (Bob Thomas kick),7,14
3,3.0,Bears,Vince Evans 3 yard rush (Bob Thomas kick),14,14
4,4.0,Eagles,Tony Franklin 18 yard field goal,14,17
