,Quarter,Tm,Detail,CLE,SIS
0,1.0,Stapletons,Ken Strong 2 yard rush,0,6
1,2.0,Indians,Otto Vokaty 10 yard rush (Hoge Workman kick),7,6
2,4.0,Stapletons,Ken Strong 55 yard rush (Ken Strong kick),7,13
3,4.0,Stapletons,Ken Strong 20 yard field goal,7,16
