,Quarter,Tm,Detail,KAN,TAM
0,1.0,Buccaneers,Michael Husted 35 yard field goal,0,3
1,2.0,Chiefs,Willie Davis 19 yard pass from Joe Montana (Nick Lowery kick),7,3
2,2.0,Chiefs,Nick Lowery 21 yard field goal,10,3
3,2.0,Chiefs,J.J. Birden 50 yard pass from Joe Montana (Nick Lowery kick),17,3
4,3.0,Chiefs,Marcus Allen 12 yard pass from Joe Montana (Nick Lowery kick),24,3
5,4.0,Chiefs,Nick Lowery 23 yard field goal,27,3
