,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Colts,Joe Washington 5 yard rush (Steve Mike-Mayer kick),0,7
1,2.0,Colts,Don McCauley 14 yard pass from Bert Jones (Steve Mike-Mayer kick),0,14
2,2.0,Jets,Kevin Long 5 yard rush (Pat Leahy kick),7,14
3,2.0,Jets,Clark Gaines 10 yard pass from Richard Todd (Pat Leahy kick),14,14
4,2.0,Colts,Randy Burke 19 yard pass from Bert Jones (Steve Mike-Mayer kick),14,21
5,3.0,Colts,Curtis Dickey 3 yard rush (Steve Mike-Mayer kick),14,28
6,4.0,Jets,Kevin Long 5 yard rush (Pat Leahy kick),21,28
7,4.0,Colts,Roger Carr 5 yard pass from Bert Jones (Steve Mike-Mayer kick),21,35
