,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,2:06,Packers,James Jones 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,2.0,11:07,Packers,Donald Driver 2 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
2,2.0,6:47,Packers,Jordy Nelson 29 yard pass from Aaron Rodgers (Mason Crosby kick),21,0
3,2.0,0:14,Lions,Jason Hanson 38 yard field goal,21,3
4,3.0,11:27,Lions,Jason Hanson 49 yard field goal,21,6
5,3.0,8:15,Lions,Jason Hanson 53 yard field goal,21,9
6,3.0,2:28,Packers,Mason Crosby 25 yard field goal,24,9
7,4.0,13:17,Lions,Calvin Johnson 38 yard pass from Jon Kitna (Jason Hanson kick),24,16
8,4.0,11:41,Lions,"Safety, Derrick Frost fumbled out of bounds in the end zone.",24,18
9,4.0,7:41,Lions,Calvin Johnson 47 yard pass from Jon Kitna (Jason Hanson kick),24,25
10,4.0,5:17,Packers,Mason Crosby 39 yard field goal,27,25
11,4.0,3:31,Packers,Brandon Jackson 19 yard rush (Mason Crosby kick),34,25
12,4.0,3:09,Packers,Charles Woodson 41 yard interception return (Mason Crosby kick),41,25
13,4.0,2:07,Packers,Nick Collins 42 yard interception return (Mason Crosby kick),48,25
