,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Don Chandler 30 yard field goal,3,0
1,1.0,Vikings,Fred Cox 24 yard field goal,3,3
2,2.0,Vikings,Dave Osborn 43 yard rush (Fred Cox kick),3,10
3,2.0,Packers,Boyd Dowler 57 yard pass from Bart Starr (Don Chandler kick),10,10
4,2.0,Packers,Don Chandler 34 yard field goal,13,10
5,3.0,Vikings,John Beasley 6 yard pass from Joe Kapp (Fred Cox kick),13,17
6,3.0,Packers,Carroll Dale 34 yard pass from Bart Starr (Don Chandler kick),20,17
7,3.0,Packers,Ben Wilson 1 yard rush (Don Chandler kick),27,17
8,4.0,Vikings,Red Phillips 7 yard pass from Joe Kapp (Fred Cox kick),27,24
9,4.0,Vikings,Fred Cox 27 yard field goal,27,27
10,4.0,Packers,Don Chandler 19 yard field goal,30,27
