,Quarter,Time,Tm,Detail,STL,CAR
0,1.0,,Panthers,Wesley Walls 9 yard pass from Kerry Collins (John Kasay kick),0,7
1,1.0,,Panthers,Kevin Greene 66 yard defensive fumble return (John Kasay kick),0,14
2,2.0,,Panthers,Muhsin Muhammad 54 yard pass from Kerry Collins (John Kasay kick),0,21
3,2.0,,Rams,Anthony Parker 22 yard interception return (Chip Lohmiller kick),7,21
4,2.0,3:13,Panthers,Michael Bates 93 yard kickoff return (John Kasay kick),7,28
5,2.0,3:13,Rams,Eddie Kennison 12 yard pass from Tony Banks,13,28
6,3.0,3:13,Panthers,John Kasay 22 yard field goal,13,31
7,3.0,3:13,Panthers,Wesley Walls 19 yard pass from Kerry Collins (John Kasay kick),13,38
8,4.0,3:13,Panthers,Dino Philyaw 2 yard rush (John Kasay kick),13,45
