,Quarter,Time,Tm,Detail,PHI,CHI
0,1.0,7:19,Bears,Chris Boniol 46 yard field goal,0,3
1,1.0,5:34,Eagles,Dietrich Jells 57 yard pass from Doug Pederson (Norm Johnson kick),7,3
2,2.0,14:18,Eagles,Norm Johnson 28 yard field goal,10,3
3,2.0,9:56,Bears,Chris Boniol 40 yard field goal,10,6
4,2.0,5:23,Eagles,Luther Broughton 3 yard pass from Doug Pederson (Norm Johnson kick),17,6
5,2.0,2:39,Eagles,Norm Johnson 27 yard field goal,20,6
6,3.0,12:41,Bears,Marcus Robinson 80 yard pass from Cade McNown (Chris Boniol kick),20,13
7,4.0,7:40,Bears,Chris Boniol 44 yard field goal,20,16
