,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Horace King 1 yard rush (Benny Ricardo kick),7,0
1,1.0,Bears,Bob Thomas 28 yard field goal,7,3
2,2.0,Lions,Jesse Thompson 8 yard pass from Gary Danielson (Benny Ricardo kick),14,3
3,2.0,Bears,Bob Avellini 9 yard rush (Bob Thomas kick),14,10
4,2.0,Lions,David Hill 2 yard pass from Gary Danielson (Benny Ricardo kick),21,10
5,3.0,Bears,Roland Harper 2 yard rush (Bob Thomas kick),21,17
