,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Clarke Hinkle 1 yard rush (Don Hutson kick),7,0
1,1.0,Bears,Hugh Gallarneau 81 yard punt return,7,6
2,2.0,Bears,Bob Snyder 24 yard field goal,7,9
3,2.0,Bears,Norm Standlee 3 yard rush (Joe Stydahar kick),7,16
4,2.0,Bears,Norm Standlee 2 yard rush (Joe Stydahar kick),7,23
5,2.0,Bears,Bob Swisher 9 yard rush (Joe Stydahar kick),7,30
6,3.0,Packers,Hal Van Every 10 yard pass from Cecil Isbell (Don Hutson kick),14,30
7,4.0,Bears,Bob Snyder 26 yard field goal,14,33
