,Quarter,Time,Tm,Detail,BUF,NYJ
0,2.0,14:47,Jets,Ray Lucas 9 yard rush (John Hall kick),0,7
1,2.0,9:41,Jets,Eric Ogbogu defensive fumble recovery in end zone (John Hall kick),0,14
2,3.0,7:13,Jets,John Hall 36 yard field goal,0,17
3,3.0,3:29,Bills,Peerless Price 2 yard pass from Doug Flutie (Steve Christie kick),7,17
