,Quarter,Time,Tm,Detail,CLE,IND
0,1.0,,Browns,Eric Metcalf 57 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,1.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),7,7
2,2.0,,Browns,Eric Metcalf 15 yard pass from Vinny Testaverde (Matt Stover kick),14,7
3,3.0,,Colts,Roosevelt Potts 13 yard pass from Jim Harbaugh (Dean Biasucci kick),14,14
4,4.0,,Browns,Leroy Hoard 65 yard pass from Vinny Testaverde (Matt Stover kick),21,14
