,Quarter,Time,Tm,Detail,CHI,OAK
0,1.0,4:07,Raiders,Tim Brown 20 yard pass from Rich Gannon (Michael Husted kick),0,7
1,1.0,3:06,Bears,Curtis Conway 11 yard pass from Shane Matthews (Jeff Jaeger kick),7,7
2,2.0,1:50,Bears,Jeff Jaeger 52 yard field goal,10,7
3,2.0,0:09,Raiders,Rickey Dudley 13 yard pass from Rich Gannon (Michael Husted kick),10,14
4,3.0,8:57,Bears,Curtis Enis 16 yard pass from Shane Matthews (Jeff Jaeger kick),17,14
5,4.0,13:13,Raiders,Michael Husted 47 yard field goal,17,17
6,4.0,6:45,Raiders,Tyrone Wheatley 8 yard rush (Michael Husted kick),17,24
