,Quarter,Tm,Detail,DEN,MIN
0,1,Vikings,Rick Danmeier 24 yard field goal,0,3
1,3,Vikings,Rick Danmeier 46 yard field goal,0,6
2,3,Vikings,Rick Danmeier 21 yard field goal,0,9
3,4,Broncos,Jon Keyworth 1 yard rush,6,9
4,4,Broncos,Jim Turner 25 yard field goal,9,9
5,OT,Vikings,Rick Danmeier 44 yard field goal,9,12
