,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Tim Worley 8 yard rush (Gary Anderson kick),0,7
1,1.0,Patriots,Jason Staurovsky 20 yard field goal,3,7
2,2.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),3,14
3,3.0,Steelers,Louis Lipps 58 yard rush (Gary Anderson kick),3,21
4,4.0,Steelers,Merril Hoge 2 yard rush (Gary Anderson kick),3,28
5,4.0,Patriots,Cedric Jones 12 yard pass from Marc Wilson (Jason Staurovsky kick),10,28
