,Quarter,Tm,Detail,MIN,NYG
0,1.0,Giants,Pete Gogolak 37 yard field goal,0,3
1,1.0,Vikings,Dave Osborn 2 yard rush (Fred Cox kick),7,3
2,2.0,Giants,Charlie Evans 3 yard rush (Pete Gogolak kick),7,10
3,3.0,Vikings,Fred Cox 37 yard field goal,10,10
4,4.0,Vikings,Bob Grim 55 yard pass from Norm Snead (Fred Cox kick),17,10
