,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Joe Geri 24 yard field goal,3,0
1,1.0,Steelers,Fran Rogel 1 yard rush (Joe Geri kick),10,0
2,2.0,Eagles,Pete Pihos 16 yard pass from Adrian Burk,10,6
3,2.0,Steelers,Lynn Chandnois 37 yard pass from Chuck Ortmann (Joe Geri kick),17,6
4,4.0,Eagles,Jim Parmer 15 yard rush (Bobby Walston kick),17,13
