,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,David Whitehurst 3 yard rush,0,6
1,2.0,Vikings,Sammy White 40 yard pass from Bob Lee (Fred Cox kick),7,6
2,2.0,Vikings,Fred Cox 21 yard field goal,10,6
3,2.0,Vikings,Fred Cox 31 yard field goal,13,6
