,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,7:49,Dolphins,Olindo Mare 28 yard field goal,3,0
1,2.0,12:40,Colts,Dan Klecko 2 yard pass from Peyton Manning (Adam Vinatieri kick),3,7
2,2.0,1:31,Dolphins,Olindo Mare 38 yard field goal,6,7
3,2.0,0:19,Colts,Peyton Manning 11 yard rush (Adam Vinatieri kick),6,14
4,2.0,0:00,Colts,Adam Vinatieri 46 yard field goal,6,17
5,3.0,13:17,Dolphins,Olindo Mare 42 yard field goal,9,17
6,3.0,7:37,Colts,Adam Vinatieri 34 yard field goal,9,20
7,3.0,2:11,Dolphins,Olindo Mare 27 yard field goal,12,20
8,4.0,12:38,Dolphins,Olindo Mare 34 yard field goal,15,20
9,4.0,10:07,Colts,Marvin Harrison 27 yard pass from Peyton Manning (Adam Vinatieri kick),15,27
10,4.0,3:11,Dolphins,Randy McMichael 6 yard pass from Cleo Lemon (Olindo Mare kick),22,27
