,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Rafael Septien 51 yard field goal,0,3
1,1.0,Cardinals,Steve Little 51 yard field goal,3,3
2,1.0,Cardinals,Steve Little 41 yard field goal,6,3
3,2.0,Cowboys,Billy Joe DuPree 10 yard pass from Roger Staubach (Rafael Septien kick),6,10
4,2.0,Cowboys,Tony Hill 10 yard pass from Roger Staubach (Rafael Septien kick),6,17
5,2.0,Cardinals,Roy Green 106 yard kickoff return (Steve Little kick),13,17
6,3.0,Cowboys,"Safety, ball kicked through end zone",13,19
7,4.0,Cowboys,Rafael Septien 29 yard field goal,13,22
