,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,,Cowboys,Richie Cunningham 26 yard field goal,3,0
1,2.0,,Cowboys,Richie Cunningham 24 yard field goal,6,0
2,2.0,,Cowboys,Richie Cunningham 35 yard field goal,9,0
3,3.0,,Eagles,Chris Boniol 29 yard field goal,9,3
4,4.0,,Eagles,Chris Boniol 37 yard field goal,9,6
5,4.0,,Cowboys,Richie Cunningham 43 yard field goal,12,6
6,4.0,,Eagles,Chad Lewis 8 yard pass from Rodney Peete (Chris Boniol kick),12,13
