,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,9:33,Broncos,Brandon Stokley 11 yard pass from Jay Cutler (Matt Prater kick),0,7
1,1.0,3:55,Jaguars,Josh Scobee 48 yard field goal,3,7
2,2.0,2:58,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),10,7
3,3.0,13:47,Jaguars,Maurice Jones-Drew 46 yard rush (Josh Scobee kick),17,7
4,3.0,8:40,Broncos,Matt Prater 39 yard field goal,17,10
5,3.0,3:48,Jaguars,Marcedes Lewis 30 yard pass from David Garrard (Josh Scobee kick),24,10
6,4.0,9:19,Broncos,Daniel Graham 11 yard pass from Jay Cutler (Matt Prater kick),24,17
