,Quarter,Tm,Detail,CLE,GNB
0,1.0,Browns,Paul Warfield 48 yard pass from Frank Ryan (Lou Groza kick),7,0
1,1.0,Packers,Elijah Pitts 19 yard rush (Paul Hornung kick),7,7
2,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),14,7
3,3.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),14,14
4,3.0,Packers,Bart Starr 4 yard rush (Paul Hornung kick),14,21
5,4.0,Packers,Jim Taylor 5 yard rush (Paul Hornung kick),14,28
6,4.0,Browns,Paul Warfield 19 yard pass from Frank Ryan (Lou Groza kick),21,28
