,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Don Chandler 18 yard field goal,3,0
1,2.0,49ers,John David Crow 27 yard pass from George Mira (Tommy Davis kick),3,7
2,3.0,49ers,Matt Hazeltine 22 yard defensive fumble return (Tommy Davis kick),3,14
3,3.0,Packers,Paul Hornung 43 yard pass from Bart Starr (Don Chandler kick),10,14
4,3.0,Packers,Don Chandler 22 yard field goal,13,14
5,4.0,49ers,John David Crow 8 yard pass from George Mira (Tommy Davis kick),13,21
6,4.0,Packers,Carroll Dale 38 yard pass from Bart Starr (Don Chandler kick),20,21
