,Quarter,Tm,Detail,NYG,PHI
0,2.0,Eagles,Charle Young 13 yard pass from Mike Boryla (Horst Muhlmann kick),0,7
1,2.0,Giants,Ron Johnson 1 yard rush,6,7
2,2.0,Giants,Ron Johnson 3 yard rush (George Hunt kick),13,7
3,4.0,Giants,George Hunt 41 yard field goal,16,7
4,4.0,Eagles,Harold Carmichael 2 yard pass from Roman Gabriel (Horst Muhlmann kick),16,14
5,4.0,Giants,Ray Rhodes 50 yard pass from Craig Morton (George Hunt kick),23,14
