,Quarter,Tm,Detail,CLE,NYG
0,1,Browns,Greg Pruitt 2 yard rush (Don Cockroft kick),7,0
1,2,Giants,Emery Moorehead 15 yard pass from Jerry Golsteyn (Joe Danelo kick),7,7
2,3,Browns,Gerald Irons 53 yard interception return (Don Cockroft kick),14,7
3,4,Browns,Paul Warfield 18 yard pass from Dave Mays (Don Cockroft kick),21,7
