,Quarter,Time,Tm,Detail,SEA,DEN
0,1.0,3:10,Broncos,Desmond Clark 11 yard pass from Brian Griese (Jason Elam kick),0,7
1,2.0,13:47,Broncos,Jason Elam 42 yard field goal,0,10
2,2.0,1:05,Seahawks,Darrell Jackson 24 yard pass from Matt Hasselbeck (Rian Lindell kick),7,10
3,3.0,7:39,Broncos,Patrick Hape 1 yard pass from Gus Frerotte (Jason Elam kick),7,17
4,3.0,0:43,Broncos,Jason Elam 20 yard field goal,7,20
