,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Stephone Paige 8 yard pass from Steve DeBerg (Nick Lowery kick),7,0
1,1.0,Chargers,Anthony Miller 5 yard pass from Billy Joe Tolliver (John Carney kick),7,7
2,2.0,Chiefs,Barry Word 11 yard rush (Nick Lowery kick),14,7
3,2.0,Chiefs,Todd McNair 40 yard pass from Steve DeBerg (Nick Lowery kick),21,7
4,3.0,Chargers,Rod Bernstine 3 yard rush (John Carney kick),21,14
5,4.0,Chargers,Kitrick Taylor 55 yard punt return (John Carney kick),21,21
6,4.0,Chiefs,Nick Lowery 32 yard field goal,24,21
