,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Billy Sims 41 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,1.0,49ers,James Owens 101 yard kickoff return (Ray Wersching kick),7,7
2,2.0,Lions,Eddie Murray 32 yard field goal,7,10
3,3.0,49ers,Ray Wersching 36 yard field goal,10,10
4,4.0,49ers,Ray Wersching 39 yard field goal,13,10
5,4.0,Lions,Gary Danielson 8 yard rush (Eddie Murray kick),13,17
