,Quarter,Time,Tm,Detail,DAL,MIA
0,2.0,14:55,Cowboys,Rolando McClain 12 yard interception return (Dan Bailey kick),7,0
1,2.0,1:08,Cowboys,Terrance Williams 31 yard pass from Tony Romo (Dan Bailey kick),14,0
2,2.0,0:16,Dolphins,Jordan Cameron 12 yard pass from Ryan Tannehill (Andrew Franks kick),14,7
3,3.0,5:20,Dolphins,Kenny Stills 29 yard pass from Ryan Tannehill (Andrew Franks kick),14,14
4,4.0,14:55,Cowboys,Dez Bryant 16 yard pass from Tony Romo (Dan Bailey kick),21,14
5,4.0,9:09,Cowboys,Dan Bailey 30 yard field goal,24,14
