,Quarter,Tm,Detail,CIN,DEN
0,2.0,Bengals,Jim Breech 46 yard field goal,3,0
1,2.0,Broncos,Butch Johnson 35 yard pass from John Elway,3,6
2,2.0,Broncos,Gene Lang 1 yard rush (Rich Karlis kick),3,13
3,3.0,Bengals,James Brooks 1 yard rush (Jim Breech kick),10,13
4,4.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),17,13
5,4.0,Broncos,Clarence Kay 8 yard pass from Gary Kubiak (Rich Karlis kick),17,20
