,Quarter,Tm,Detail,NWE,CLE
0,1.0,Browns,Earnest Byner 9 yard rush (Matt Bahr kick),0,7
1,2.0,Patriots,Johnny Rembert special teams fumble recovery in end zone (Tony Franklin kick),7,7
2,2.0,Browns,Ozzie Newsome 33 yard pass from Brian Brennan (Matt Bahr kick),7,14
3,2.0,Patriots,Tony Franklin 29 yard field goal,10,14
4,2.0,Patriots,Tony Franklin 33 yard field goal,13,14
5,3.0,Browns,Matt Bahr 44 yard field goal,13,17
6,3.0,Patriots,Stanley Morgan 22 yard pass from Tony Eason (Tony Franklin kick),20,17
7,4.0,Browns,Kevin Mack 10 yard rush (Matt Bahr kick),20,24
