,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Billy Jackson 1 yard rush (Nick Lowery kick),0,7
1,1.0,Chiefs,Whitney Paul 47 yard defensive fumble return (Nick Lowery kick),0,14
2,3.0,Broncos,Steve Watson 11 yard pass from Craig Morton (Fred Steinfort kick),7,14
3,4.0,Chiefs,Henry Marshall 64 yard pass from Bill Kenney (Nick Lowery kick),7,21
4,4.0,Broncos,Steve Watson 11 yard pass from Craig Morton (Fred Steinfort kick),14,21
5,4.0,Chiefs,Joe Delaney 82 yard rush (Nick Lowery kick),14,28
