,Quarter,Tm,Detail,CHI,DEN
0,1.0,Bears,Mirro Roder 47 yard field goal,3,0
1,1.0,Bears,Mac Percival 12 yard field goal,6,0
2,2.0,Bears,Jim Harrison 44 yard pass from Bobby Douglass (Mac Percival kick),13,0
3,2.0,Bears,Mac Percival 10 yard field goal,16,0
4,3.0,Bears,Earl Thomas 5 yard pass from Bobby Douglass (Mac Percival kick),23,0
5,3.0,Bears,Jim Harrison 5 yard rush (Mac Percival kick),30,0
6,4.0,Broncos,Bobby Anderson 1 yard rush (Jim Turner kick),30,7
7,4.0,Broncos,Otis Armstrong 36 yard pass from Charley Johnson (Jim Turner kick),30,14
8,4.0,Bears,Mirro Roder 42 yard field goal,33,14
