,Quarter,Tm,Detail,BOS,RAM
0,1.0,Rams,Fred Gehrke 23 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,2.0,Rams,Bob Waterfield 1 yard rush,0,13
2,3.0,Yanks/Tigers,Pug Manders unknown yard rush (Augie Lio kick),7,13
3,3.0,Rams,Jim Benton 35 yard pass from Bob Waterfield (Bob Waterfield kick),7,20
