,Quarter,Tm,Detail,NYJ,CLE
0,2.0,Browns,Don Cockroft 34 yard field goal,0,3
1,3.0,Browns,Mike Pruitt 9 yard rush (Don Cockroft kick),0,10
2,3.0,Jets,Lam Jones 39 yard pass from Richard Todd (Pat Leahy kick),7,10
3,4.0,Jets,Mickey Shuler 5 yard pass from Richard Todd (Pat Leahy kick),14,10
4,4.0,Browns,Greg Pruitt 5 yard pass from Brian Sipe (Don Cockroft kick),14,17
