,Quarter,Tm,Detail,SFO,STL
0,2.0,49ers,Bruce Gossett 12 yard field goal,3,0
1,2.0,49ers,Tommy Hart 63 yard defensive fumble return (Bruce Gossett kick),10,0
2,2.0,Cardinals,Jackie Smith 61 yard pass from Pete Beathard (Jim Bakken kick),10,7
3,3.0,49ers,Bruce Gossett 19 yard field goal,13,7
4,4.0,49ers,Bruce Gossett 34 yard field goal,16,7
5,4.0,Cardinals,John Gilliam 49 yard pass from Pete Beathard (Jim Bakken kick),16,14
6,4.0,49ers,Dick Witcher 50 yard pass from John Brodie (Bruce Gossett kick),23,14
7,4.0,49ers,Bruce Gossett 40 yard field goal,26,14
