,Quarter,Time,Tm,Detail,SEA,OAK
0,1.0,,Seahawks,Joey Galloway 56 yard punt return (Todd Peterson kick),7,0
1,2.0,,Seahawks,Todd Peterson 22 yard field goal,10,0
2,2.0,1:46,Raiders,Desmond Howard 63 yard punt return (Greg Davis kick),10,7
3,4.0,1:46,Raiders,Greg Davis 26 yard field goal,10,10
4,4.0,1:46,Raiders,Harvey Williams 25 yard rush (Greg Davis kick),10,17
5,4.0,1:08,Seahawks,Christian Fauria 12 yard pass from Warren Moon (Todd Peterson kick),17,17
6,4.0,0:25,Raiders,Greg Davis 38 yard field goal,17,20
