,Quarter,Time,Tm,Detail,OAK,TAM
0,2.0,10:36,Raiders,Michael Bush 4 yard rush (Sebastian Janikowski kick),7,0
1,2.0,5:38,Buccaneers,Cadillac Williams 9 yard rush (Matt Bryant kick),7,7
2,2.0,0:30,Raiders,Chaz Schilens 3 yard pass from JaMarcus Russell (Sebastian Janikowski kick),14,7
3,3.0,10:03,Buccaneers,Michael Clayton 58 yard pass from Jeff Garcia (Matt Bryant kick),14,14
4,4.0,14:51,Buccaneers,Matt Bryant 29 yard field goal,14,17
5,4.0,11:27,Buccaneers,Cadillac Williams 8 yard rush (Matt Bryant kick),14,24
6,4.0,9:53,Raiders,Johnnie Lee Higgins 12 yard pass from JaMarcus Russell (Sebastian Janikowski kick),21,24
7,4.0,7:03,Raiders,Michael Bush 67 yard rush (Sebastian Janikowski kick),28,24
8,4.0,1:09,Raiders,Sebastian Janikowski 25 yard field goal,31,24
