,Quarter,Time,Tm,Detail,NWE,DEN
0,1,11:24,Patriots,Rob Gronkowski 23 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
1,2,10:40,Patriots,Scott Chandler 9 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2,2,2:07,Broncos,Ronnie Hillman 19 yard rush (Brandon McManus kick),14,7
3,4,14:50,Patriots,Brandon Bolden 63 yard pass from Tom Brady (Stephen Gostkowski kick),21,7
4,4,12:34,Broncos,C.J. Anderson 15 yard rush (Brandon McManus kick),21,14
5,4,6:08,Broncos,Brandon McManus 21 yard field goal,21,17
6,4,1:09,Broncos,Andre Caldwell 4 yard pass from Brock Osweiler (Brandon McManus kick),21,24
7,4,0:00,Patriots,Stephen Gostkowski 47 yard field goal,24,24
8,OT,12:32,Broncos,C.J. Anderson 48 yard rush,24,30
