,Quarter,Time,Tm,Detail,CHI,WAS
0,1.0,14:35,Redskins,Stephen Davis 76 yard rush (Brett Conway kick),0,7
1,1.0,9:17,Redskins,Dan Wilkinson 88 yard interception return (Brett Conway kick),0,14
2,2.0,13:32,Redskins,Brett Conway 50 yard field goal,0,17
3,2.0,6:25,Redskins,Brad Johnson 1 yard rush (Brett Conway kick),0,24
4,2.0,0:35,Redskins,Michael Westbrook 13 yard pass from Brad Johnson (Brett Conway kick),0,31
5,3.0,13:30,Redskins,Stephen Davis 2 yard rush (Brett Conway kick),0,38
6,3.0,6:37,Redskins,Larry Centers 22 yard pass from Brad Johnson (Brett Conway kick),0,45
7,3.0,2:58,Bears,Marcus Robinson 30 yard pass from Cade McNown (Chris Boniol kick),7,45
8,3.0,1:39,Bears,Marcus Robinson 52 yard pass from Cade McNown (Chris Boniol kick),14,45
9,4.0,14:55,Redskins,Brett Conway 51 yard field goal,14,48
10,4.0,1:12,Bears,Ryan Wetnight 3 yard pass from Cade McNown (Cade McNown run),22,48
