,Quarter,Tm,Detail,STL,CHI
0,1.0,Cardinals,Steve Jones 16 yard pass from Jim Hart (Roger Wehrli run),7,0
1,1.0,Cardinals,Jim Bakken 40 yard field goal,10,0
2,2.0,Cardinals,Jim Otis 2 yard rush (Jim Bakken kick),17,0
3,3.0,Cardinals,Jim Bakken 29 yard field goal,20,0
4,3.0,Cardinals,Steve Jones 2 yard rush (Jim Bakken kick),27,0
5,3.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),34,0
6,4.0,Bears,Bob Grim 24 yard pass from Bob Avellini (Bob Thomas kick),34,7
7,4.0,Bears,Walter Payton 10 yard rush,34,13
8,4.0,Bears,Bo Rather 48 yard pass from Bob Avellini (Bob Thomas kick),34,20
